id:	name:	is_a:	part_of:	dev_from:	start_stg:	end_stg:	def:
ECAO:1000594	mouth	anatomical structure					
ECAO:1000595	larval mouth	mouth	larval digestive system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000596	anus	anatomical structure					
ECAO:1000597	larval anus	anus	larval digestive system		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000598	presumptive endoderm	embryonic structure					
ECAO:1000599	endoderm	germ layer	vegetal hemisphere		mid blastula stage	competent pluteus larva stage	
ECAO:1000600	archenteron	embryonic structure	embryonic digestive system		blastopore gastrula stage	prism stage	
ECAO:1000601	hindgut	digestive system element	archenteron		mid gastrula stage	prism stage	
ECAO:1000602	dorsal hindgut	anatomical region	hindgut		mid gastrula stage	prism stage	
ECAO:1000603	ventral hindgut	anatomical region	hindgut		mid gastrula stage	prism stage	
ECAO:1000604	midgut	digestive system element	archenteron		mid gastrula stage	prism stage	
ECAO:1000605	ventral midgut	anatomical region	midgut		mid gastrula stage	prism stage	
ECAO:1000606	dorsal midgut	anatomical region	midgut		mid gastrula stage	prism stage	
ECAO:1000607	anterior midgut	anatomical region					
ECAO:1000608	posterior midgut	anatomical region					
ECAO:1000609	anterior hindgut	anatomical region					
ECAO:1000610	posterior hindgut	anatomical region					
ECAO:1000611	foregut	digestive system element	archenteron		mid gastrula stage	prism stage	
ECAO:1000612	ventral foregut	anatomical region	foregut		mid gastrula stage	prism stage	
ECAO:1000613	dorsal foregut	anatomical region	foregut		mid gastrula stage	prism stage	
ECAO:1000614	anterior foregut	anatomical region					
ECAO:1000615	posterior foregut	anatomical region					
ECAO:1000616	tip of archenteron	anatomical region	archenteron		early gastrula stage	prism stage	
ECAO:1000617	presumptive mesoderm	embryonic structure					
ECAO:1000618	mesoderm	germ layer	vegetal hemisphere		16-cell stage	competent pluteus larva stage	
ECAO:1000619	skeletogenic mesoderm	embryonic structure	mesoderm	large micromere	32-cell stage	early mesenchyme blastula stage	The subset of the mesoderm that will give rise to the skeletal elements.
ECAO:1000620	skeletogenic mesenchyme	embryonic tissue	pre-metamorphic individual	skeletogenic mesoderm	early mesenchyme blastula stage	competent pluteus larva stage	Skeletogenic mesenchyme is the tissue made up of loosely connected mesoderm cells. It is located in the blastocoel and will produce all of the skeletal elements.
ECAO:1000621	skeletogenic mesenchyme cell	cell	skeletogenic mesenchyme				
ECAO:1000622	syncytium	cell					
ECAO:1000623	skeletogenic mesenchyme syncytium	syncytium	skeletogenic mesenchyme		early gastrula stage	4-arm pluteus larva stage	Anatomical structure composed of skeletogenic mesenchyme cells that have fused to form a single syncytial network.
ECAO:1000624	subequatorial skeletogenic mesenchyme ring	embryonic structure	skeletogenic mesenchyme				
ECAO:1000625	ventral skeletogenic mesenchyme chain	embryonic structure	subequatorial skeletogenic mesenchyme ring		early gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain on the oral (i.e. ventral) side of the embryo.
ECAO:1000626	dorsal skeletogenic mesenchyme chain	embryonic structure	subequatorial skeletogenic mesenchyme ring		early gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain on the aboral (i.e. dorsal) side of the embryo.
