id:	name:	is_a:	part_of:	dev_from:	start_stg:	end_stg:	def:
ECAO:1000396	bottle cell	embryonic cell					
ECAO:1000397	embryonic cell	cell					
ECAO:1000398	vegetal plate	anatomical region	vegetal hemisphere		swimming blastula stage	mesenchyme blastula stage	
ECAO:1000399	cell	anatomical structure			previtellogenic primary oocyte stage	adult stage	Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane
ECAO:1000400	cell part	anatomical structure	cell		mature oocyte	adult stage	Anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.
ECAO:1000401	organ	anatomical system	multicellular organism		"early pluteus larva stage

"	adult stage	
ECAO:1000402	digestive system element	anatomical structure	digestive system		blastopore gastrula stage	adult stage	Any of the organs or elements that are part of the digestive system
ECAO:1000403	skeletal element	anatomical structure	endoskeleton		mid gastrula stage	adult stage	
ECAO:1000404	embryonic structure	anatomical structure	embryo		1-cell stage	prism stage	
ECAO:1000405	larval structure	anatomical structure	larva		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000406	adult structure	anatomical structure	adult		postlarval juvenile stage	adult stage	
ECAO:1000407	tissue	anatomical structure	multicellular organism		60-cell stage	adult stage	
ECAO:1000408	rudiment	anatomical structure	larva		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000409	rudiment structure	anatomical structure	rudiment		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000410	non-rudiment adult structure	anatomical structure	larva		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000411	microtubule	intracellular part			previtellogenic primary oocyte stage	adult stage	
ECAO:1000412	nucleus	intracellular part			mature oocyte	adult stage	A membrane-bounded organelle of in which chromosomes are housed and replicated. In most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some specialized cell types, RNA metabolism or DNA replication may be absent
ECAO:1000413	germinal vesicle	nucleus	oocyte		not fully grown oocyte stage	fully grown oocyte with off-centered germinal vesicle stage	The enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase I of the first meiotic division between embryohood and sexual maturity
ECAO:1000414	equatorial pigment band	intracellular part			fully grown oocyte with centered germinal vesicle stage	prism stage	The subequatorial accumulation of pigment granules (the so-called âpigment bandâ) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity
ECAO:1000415	cytoplasm	intracellular part			not fully grown oocyte stage	adult stage	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures
ECAO:1000416	centrosome	intracellular part			fully grown oocyte with off-centered germinal vesicle stage	adult stage	
ECAO:1000417	mitotic spindle	intracellular part			1-cell stage	adult stage	
ECAO:1000418	meiotic spindle	intracellular part	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with off-centered germinal vesicle stage	
ECAO:1000419	fertilization envelope	cell part	embryo		1-cell stage	late blastula stage	A structure that lies outside the plasma membrane and surrounds the egg. The fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release
ECAO:1000420	cytoskeleton	intracellular part					
ECAO:1000421	cytoskeletal part	cytoskeleton					
ECAO:1000422	sperm aster	aster					
ECAO:1000423	aster	cytoskeletal part					
ECAO:1000424	acellular membrane	anatomical structure					
ECAO:1000425	vitelline membrane	acellular membrane					
ECAO:1000426	intracellular part	cell part					
ECAO:1000427	extracellular region	cell part					
ECAO:1000428	extracellular matrix	extracellular region					
ECAO:1000429	hyaline layer	extracellular matrix					
ECAO:1000430	microvillus	cell part					
ECAO:1000431	apical lamina	extracellular matrix	hyaline layer				
ECAO:1000432	secretory vesicle	intracellular part					
ECAO:1000433	cilium	cell part					
ECAO:1000434	filopodium	cell part					
ECAO:1000435	basal lamina	acellular membrane					
ECAO:1000436	basal laminar vesicle	secretory vesicle					
ECAO:1000437	apical vesicle	secretory vesicle					
ECAO:1000438	secretory granule	intracellular part					
ECAO:1000439	cortical granule	secretory granule					
ECAO:1000440	echinonectin granule	secretory granule					
ECAO:1000441	mitochondrion	intracellular part					
ECAO:1000442	actin cytoskeleton	cytoskeleton					
ECAO:1000443	actin filament	intracellular part	actin cytoskeleton				
ECAO:1000444	nuclear part	intracellular part	nucleus				
ECAO:1000445	nucleoplasm	nuclear part	nucleus				
ECAO:1000446	nuclear envelope	nuclear part	nucleus				
ECAO:1000447	endoplasmic reticulum	intracellular part			previtellogenic primary oocyte stage	adult stage	
ECAO:1000448	spermatozoid entry point	cell part			mature oocyte stage	1-cell stage	
ECAO:1000449	plasma membrane	cell part			previtellogenic primary oocyte stage	adult stage	
ECAO:1000450	polar body	cell	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with no nucleus stage	A small cell formed by the meiotic division of an oocyte
ECAO:1000451	spermatozoid part	cell part	spermatozoid				
ECAO:1000452	spermatozoid head	spermatozoid part	spermatozoid		developing spermatozoa stage	mature spermatozoid stage	The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.
ECAO:1000453	spermatozoid flagellum	spermatozoid part	spermatozoid		developing spermatozoa stage	mature spermatozoid stage	A microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid
ECAO:1000454	acrosomal vesicle	secretory vesicle	spermatozoid head		developing spermatozoa stage	mature spermatozoid stage	An organelle that develops over the anterior half of the head in the spermatozoa
ECAO:1000455	presumptive primordial germ cell	cell	pre-metamorphic individual		32-cell stage	competent pluteus larva stage	
ECAO:1000456	primordial germ cell	cell	reproductive system		postlarval juvenile stage	adult stage	
ECAO:1000457	oocyte	primordial germ cell			previtellogenic primary oocyte stage	mature oocyte stage	A female haploid germ cell.
ECAO:1000458	immature occyte	oocyte					
ECAO:1000459	mature oocyte	oocyte	oocyte		mature oocyte stage	mature oocyte stage	A mature female gamet that has entered meiosis.
ECAO:1000460	spermatozoid	primordial germ cell			mature spermatozoid stage	mature spermatozoid stage	A mature male germ cell 
ECAO:1000461	early embryonic cell	cell	embryo				
ECAO:1000462	blastomere	early embryonic cell	embryo		2-cell stage	60-cell stage	 An undifferentiated cell produced by early cleavages of the fertilized egg (zygote)
ECAO:1000463	blastomere of 2-cell embryo	blastomere					
ECAO:1000464	blastomere of 4-cell embryo	blastomere					
ECAO:1000465	mesomere	blastomere	animal hemisphere		16-cell stage	16-cell stage	Intermediate size blastomere forming the animal hemisphere of the cleaving embryo
ECAO:1000466	macromere	blastomere	vegetal hemisphere		16-cell stage	16-cell stage	Larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator
ECAO:1000467	macromere daughter cell tier	cell tier	vegetal hemisphere		28-cell stage	32-cell stage	
ECAO:1000468	micromere	blastomere	vegetal hemisphere		16-cell stage	28-cell stage	Small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole
ECAO:1000469	large micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	60-cell stage	
ECAO:1000470	large micromere descendant cell	blastomere	vegetal hemisphere	large micromere	very early blastula stage	late swimming blastula stage	
ECAO:1000471	small micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	late gastrula stage	
ECAO:1000472	small micromere descendant cell	blastomere	vegetal hemisphere	small micromere	very early blastula stage	late gastrula stage	
ECAO:1000473	presumptive neuron	cell	nervous system		late blastula stage	adult stage	A progenitor cell of the nervous system that will develop into a neuron
ECAO:1000474	animal pole domain presumptive neuron	presumptive neuron	embryonic nervous system in development		late blastula stage	metamorphic larva stage	
ECAO:1000475	oral hood presumptive neuron	presumptive neuron	larval nervous system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000476	ectoderm presumptive neuron	presumptive neuron	embryonic nervous system in development		late blastula stage	metamorphic larva stage	
ECAO:1000477	ciliary band presumptive neuron	presumptive neuron	nervous system		mesenchyme blastula stage	metamorphic larva stage	
ECAO:1000478	endoderm associated presumptive neuron	presumptive neuron	nervous system	endoderm	late gastrula stage	adult stage	
ECAO:1000479	neuron	cell	nervous system	presumptive neuron	prism stage	adult stage	
ECAO:1000480	larval neuron	neuron	larval nervous system		prism stage	metamorphic larva stage	
ECAO:1000481	serotonergic neuron	neuron	nervous system		prism stage	metamorphic larva stage	
ECAO:1000482	dopaminergic neuron	neuron	nervous system		prism stage	metamorphic larva stage	
ECAO:1000483	GABAergic neuron	neuron	nervous system		prism stage	metamorphic larva stage	
ECAO:1000484	sensory neuron	neuron	nervous system		prism stage	adult stage	
ECAO:1000485	biopolar neuron	neuron	nervous system		prism stage	adult stage	
ECAO:1000486	multipolar neuron	neuron	nervous system		prism stage	adult stage	
ECAO:1000487	axon tract	neural structure	nervous system		prism stage	adult stage	
ECAO:1000488	neural structure	anatomical structure	nervous system		prism stage	adult stage	
ECAO:1000489	ciliary band neuron	larval neuron	larval nervous system	ciliary band presumptive neuron	prism stage	metamorphic larva stage	
ECAO:1000490	oral hood neuron	larval neuron	larval nervous system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000491	presumptive ciliary band cell	cell	embryo	ectoderm	mid blastula stage	metamorphic larva stage	
ECAO:1000492	endoderm associated neuron	larval neuron	larval nervous system	endoderm associated presumptive neuron	4-arm pluteus larva stage	adult stage	
ECAO:1000493	ganglion	neural structure			prism stage	adult stage	
ECAO:1000494	apical ganglion	ganglion	larval nervous system		prism stage	metamorphic larva stage	
ECAO:1000495	adult neuron	neuron	adult nervous system		8-arm pluteus larva stage	adult stage	
ECAO:1000496	nerve ring	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage	
ECAO:1000497	enteric nerve plexus	neural structure			4-arm pluteus larva stage	adult stage	
ECAO:1000498	radial nerve cord	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage	
ECAO:1000499	basiepidermal nerve plexus	neural structure	adult nervous system		postlarval juvenile stage	adult stage	
ECAO:1000500	primary podia associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage	
ECAO:1000501	spine associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage	
ECAO:1000502	pedicellaria associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage	
ECAO:1000503	cell tier	embryonic structure	embryo		8-cell stage	late blastula stage	
ECAO:1000504	animal quartet	cell tier	animal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo
ECAO:1000505	vegetal quartet	cell tier	vegetal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo
ECAO:1000506	animal tier 1	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage	
ECAO:1000507	animal tier 2 	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage	
ECAO:1000508	vegetal tier 1 	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage	
ECAO:1000509	vegetal tier 2 	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage	
ECAO:1000510	vegetal tier 1 upper	cell tier	vegetal hemisphere	vegetal tier 1 	mid blastula stage	late blastula stage	
ECAO:1000511	vegetal tier 1 lower	cell tier	vegetal hemisphere	vegetal tier 1 	mid blastula stage	late blastula stage	
ECAO:1000512	vegetal tier 2 upper	cell tier	vegetal hemisphere	vegetal tier 2 	mid blastula stage	late blastula stage	
ECAO:1000513	vegetal tier 2 lower	cell tier	vegetal hemisphere	vegetal tier 2 	mid blastula stage	late blastula stage	
ECAO:1000514	germ layer	embryonic structure			16-cell stage	prism stage	
ECAO:1000515	presumptive ectoderm	embryonic structure	animal hemisphere	mesomere	16-cell stage	60-cell stage	
ECAO:1000516	ectoderm	germ layer	animal hemisphere		60-cell stage	competent pluteus larva stage	Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.
ECAO:1000517	oral ectoderm	larval tissue	ectoderm		60-cell stage	prism stage	
ECAO:1000518	aboral ectoderm	larval tissue	ectoderm		60-cell stage	prism stage	
ECAO:1000519	animal ectoderm	anatomical region	ectoderm				
ECAO:1000520	vegetal ectoderm	anatomical region	ectoderm				
ECAO:1000521	ventral ectoderm	embryonic tissue	ectoderm				
ECAO:1000522	dorsal ectoderm	embryonic tissue	ectoderm				
ECAO:1000523	ectoendoderm	germ layer	vegetal hemisphere	vegetal tier 1 	60-cell stage	hatched blastula stage	
ECAO:1000524	endomesoderm	germ layer	vegetal hemisphere	vegetal tier 2 	60-cell stage	hatched blastula stage	
ECAO:1000525	inner animal pole domain	embryonic tissue	animal pole domain 		mesenchyme blastula stage	prism stage	
ECAO:1000526	outer animal pole domain	embryonic tissue	animal pole domain 		mesenchyme blastula stage	prism stage	
ECAO:1000527	central ectoderm	embryonic tissue	ectoderm		mesenchyme blastula stage	prism stage	
ECAO:1000528	border ectoderm	embryonic tissue	ectoderm	ectoendoderm	mesenchyme blastula stage	mesenchyme blastula stage	
ECAO:1000529	near-apical ectoderm	embryonic tissue	ectoderm				
ECAO:1000530	apical ectoderm	embryonic tissue	ectoderm				
ECAO:1000531	posterior ectoderm	embryonic tissue	ectoderm				
ECAO:1000532	veg1-lateral ectoderm	embryonic tissue	ectoderm				
ECAO:1000533	veg-1 oral ectoderm	embryonic tissue	ectoderm				
ECAO:1000534	lateral ectoderm	embryonic tissue	ectoderm				
ECAO:1000535	right lateral ectoderm	lateral ectoderm	ectoderm		late gastrula stage	competent pluteus larva stage	
ECAO:1000536	left lateral ectoderm	lateral ectoderm	ectoderm		late gastrula stage	competent pluteus larva stage	
ECAO:1000537	arm tip ectoderm	embryonic tissue	ciliary band				
ECAO:1000538	dorsal arm tip ectoderm	embryonic tissue	arm tip ectoderm	border ectoderm	blastopore gastrula stage	prism stage	
ECAO:1000539	ventral arm tip ectoderm	embryonic tissue	arm tip ectoderm	border ectoderm	blastopore gastrula stage	prism stage	
ECAO:1000540	apical tuft	embryonic structure	animal pole domain 		hatched blastula stage	"early pluteus larva stage

"	
ECAO:1000541	embryonic tissue	tissue	embryo		mesenchyme blastula stage	prism stage	
