ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type 	URCH specific	hasNoOnto
ECAO:1000386	vegetal hemisphere	embryonic structure	embryo		mature oocyte stage	prism stage	Anatomical region that corresponds to the lower half of the embryo, which later is composed of the macromeres and the micromeres, and ultimately encompasses the endoderm and mesoderm	vegetal half, lower half, lower hemisphere	UBERON:0012285										
ECAO:1000387	cell cortex	intracellular part								GO:0005938							GO:0005938		
ECAO:1000388	cleavage furrow	cell part								GO:0032154							GO:0032154		
ECAO:1000389	animal cortex	anatomical structure	animal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the animal region of the oocyte. It consists of a phospholipid bilayer and associated proteins						Croce, J., Range, R., Wu, S.-Y., Miranda, E., Lhomond, G., Peng, J. C., Lepage, T. and McClay, D. R. (2011). Wnt6 activates endoderm in the sea urchin gene regulatory network. Dev. Camb. Engl. 138, 3297–3306.					x	
ECAO:1000390	vegetal cortex	anatomical structure	vegetal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the vegetal region of the oocyte. It consists of a phospholipid bilayer and associated proteins											x	
ECAO:1000391	animal pole	anatomical region	animal hemisphere		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical region of the animal hemisphere											x	
ECAO:1000392	vegetal pole	anatomical region	vegetal hemisphere		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical most region of the vegetal hemisphere. Once cleavages have started the vegetal pole is characterized by the presence of the micromeres initially and then that of the small micromeres											x	
ECAO:1000393	animal pole domain 	anatomical region	animal hemisphere		very early blastula stage	prism stage		apical pole domain, apical plate, animal plate, neurogenic ectoderm, anterior neuroectoderm										x	
ECAO:1000394	blastopore	anatomical region	embryonic digestive system		blastopore gastrula stage	prism stage			UBERON:0000100										
ECAO:1000395	blastopore lip	embryonic structure	blastopore		blastopore gastrula stage	prism stage			UBERON:3010455										
ECAO:1000396	bottle cell	embryonic cell									CL:0007020								
ECAO:1000397	embryonic cell	cell									CL:0002321								
ECAO:1000398	vegetal plate	anatomical region	vegetal hemisphere		swimming blastula stage	mesenchyme blastula stage												x	
