term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/ECAO_0100651,sphincter,,
http://purl.obolibrary.org/obo/ECAO_0100652,pyloric sphincter,,midgut-hindgut constriction
http://purl.obolibrary.org/obo/ECAO_0100653,cardiac sphincter,,foregut-midgut constriction
http://purl.obolibrary.org/obo/ECAO_0100654,anal sphincter,,hindgut-ectoderm constriction
http://purl.obolibrary.org/obo/ECAO_0100655,sphincter muscle cell,,"sphincter muscle cell, myoepithelial cell"
http://purl.obolibrary.org/obo/ECAO_0100656,sphincter muscle,,sphincteric muscle
http://purl.obolibrary.org/obo/ECAO_0100657,pyloric sphincteric muscle,,pyloric sphincter
http://purl.obolibrary.org/obo/ECAO_0100658,cardiac sphincteric muscle,,cardiac sphincter
http://purl.obolibrary.org/obo/ECAO_0100659,anal sphincteric muscle,,anal sphincter
http://purl.obolibrary.org/obo/ECAO_0100660,larval esophagus,,
http://purl.obolibrary.org/obo/ECAO_0100661,circumesophageal muscle precursor cell,,presumptive circumesophageal muscle cell
http://purl.obolibrary.org/obo/ECAO_0100662,circumesophageal muscle,,
http://purl.obolibrary.org/obo/ECAO_0100663,larval stomach,,
http://purl.obolibrary.org/obo/ECAO_0100664,larval intestine,,
http://purl.obolibrary.org/obo/ECAO_0100665,coelom,,
http://purl.obolibrary.org/obo/ECAO_0100666,unpaired coelomic pouch,,unpaired coelomic rudiment
http://purl.obolibrary.org/obo/ECAO_0100667,right coelomic pouch ,,
http://purl.obolibrary.org/obo/ECAO_0100668,left coelomic pouch ,,left coelomic sac
http://purl.obolibrary.org/obo/ECAO_0100669,right coelomic constriction,,
http://purl.obolibrary.org/obo/ECAO_0100670,left coelomic constriction,,
http://purl.obolibrary.org/obo/ECAO_0100671,vestibule,,amniotic sac
http://purl.obolibrary.org/obo/ECAO_0100672,oral epithelium,,"oral epidermis, circumoral epithelium, circumoral ectoderm"
http://purl.obolibrary.org/obo/ECAO_0100673,aboral epithelium,,
http://purl.obolibrary.org/obo/ECAO_0100674,vestibular pore,Opening located in the left lateral field,
http://purl.obolibrary.org/obo/ECAO_0100675,left axocoel,,
http://purl.obolibrary.org/obo/ECAO_0100676,axial coelom,,
http://purl.obolibrary.org/obo/ECAO_0100677,hydrocoel,,central coelom
http://purl.obolibrary.org/obo/ECAO_0100678,axocoel,,anterior coelom
http://purl.obolibrary.org/obo/ECAO_0100679,somatocoel,,posterior coelom
http://purl.obolibrary.org/obo/ECAO_0100680,left hydrocoel,,
http://purl.obolibrary.org/obo/ECAO_0100681,left somatocoel,,
http://purl.obolibrary.org/obo/ECAO_0100682,right axohydrocoel,,anterior sac
http://purl.obolibrary.org/obo/ECAO_0100683,right somatocoel,,
http://purl.obolibrary.org/obo/ECAO_0100684,stone canal,,
http://purl.obolibrary.org/obo/ECAO_0100685,ring canal,,
http://purl.obolibrary.org/obo/ECAO_0100686,radial canal,,
http://purl.obolibrary.org/obo/ECAO_0100687,hydropore,,
http://purl.obolibrary.org/obo/ECAO_0100688,right axocoel,,
http://purl.obolibrary.org/obo/ECAO_0100689,right hydrocoel,,
http://purl.obolibrary.org/obo/ECAO_0100690,axial sinus,,
http://purl.obolibrary.org/obo/ECAO_0100691,primary pore canal,,hydropore canal
http://purl.obolibrary.org/obo/ECAO_0100692,axial organ,,
http://purl.obolibrary.org/obo/ECAO_0100693,ciliated epaulette,,
http://purl.obolibrary.org/obo/ECAO_0100694,anterior ciliated epaulette,,
http://purl.obolibrary.org/obo/ECAO_0100695,posterior ciliated epaulette,,
http://purl.obolibrary.org/obo/ECAO_0100696,lateral field,The lateral field is located in the aboral ectoderm of the larva. It separates the anterior and posterior pairs of epaulettes,
http://purl.obolibrary.org/obo/ECAO_0100697,left lateral field,The left lateral field is the lateral field located on the left side of the larva,
http://purl.obolibrary.org/obo/ECAO_0100698,right lateral field,The right lateral field is the lateral field located on the right side of the larva,
http://purl.obolibrary.org/obo/ECAO_0100699,larval epidermis,,
http://purl.obolibrary.org/obo/ECAO_0100700,ambulacral plate,,
http://purl.obolibrary.org/obo/ECAO_0100701,interambulacral plate,,int
http://purl.obolibrary.org/obo/ECAO_0100702,ambulacra,,
http://purl.obolibrary.org/obo/ECAO_0100703,interambulacra,,
http://purl.obolibrary.org/obo/ECAO_0100704,genital plate,,
http://purl.obolibrary.org/obo/ECAO_0100705,appendage,,
http://purl.obolibrary.org/obo/ECAO_0100706,pedicellaria,,
http://purl.obolibrary.org/obo/ECAO_0100707,ocular plate,,terminal plate
http://purl.obolibrary.org/obo/ECAO_0100708,buccal plate,,
http://purl.obolibrary.org/obo/ECAO_0100709,genital plate AB,,
http://purl.obolibrary.org/obo/ECAO_0100710,genital plate BC,,
http://purl.obolibrary.org/obo/ECAO_0100711,genital plate CD,,
http://purl.obolibrary.org/obo/ECAO_0100712,genital plate DE,,
http://purl.obolibrary.org/obo/ECAO_0100713,genital plate EA,,
http://purl.obolibrary.org/obo/ECAO_0100714,podia,,tube foot
http://purl.obolibrary.org/obo/ECAO_0100715,primary podia,,primary tube foot
http://purl.obolibrary.org/obo/ECAO_0100716,disk of primary podia,,
http://purl.obolibrary.org/obo/ECAO_0100717,secondary podia,,secondary tube foot
http://purl.obolibrary.org/obo/ECAO_0100718,disk of secondary podia,,
http://purl.obolibrary.org/obo/ECAO_0100719,spine,,spine appendage
http://purl.obolibrary.org/obo/ECAO_0100720,juvenile spine,,splayed spines 
http://purl.obolibrary.org/obo/ECAO_0100721,definitive spine,,adult spine
http://purl.obolibrary.org/obo/ECAO_0100722,ampulla,,tube foot ampulla
http://purl.obolibrary.org/obo/ECAO_0100723,adult mouth,,
http://purl.obolibrary.org/obo/ECAO_0100724,adult anus,,
http://purl.obolibrary.org/obo/ECAO_0100725,dental sac,,
http://purl.obolibrary.org/obo/ECAO_0100726,tooth,,
http://purl.obolibrary.org/obo/ECAO_0100727,aristotle's lantern,,
http://purl.obolibrary.org/obo/ECAO_0100728,madreporite,,
http://purl.obolibrary.org/obo/ECAO_0100729,gonopore,,genital pore
http://purl.obolibrary.org/obo/ECAO_0100730,gonad,,
http://purl.obolibrary.org/obo/ECAO_0100731,ovary,,
http://purl.obolibrary.org/obo/ECAO_0100732,testis,,
http://purl.obolibrary.org/obo/ECAO_0100733,adult digestive tract,,
http://purl.obolibrary.org/obo/ECAO_0100734,mesentery,,
http://purl.obolibrary.org/obo/ECAO_0100735,sphaeridium,,
http://purl.obolibrary.org/obo/ECAO_0100736,perivisceral cavity,,
http://purl.obolibrary.org/obo/ECAO_0100737,photosensory cell,,photoreceptor cell
