term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/ECAO_0100411,microtubule,,
http://purl.obolibrary.org/obo/ECAO_0100412,nucleus,"A membrane-bounded organelle of in which chromosomes are housed and replicated. In most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some specialized cell types, RNA metabolism or DNA replication may be absent",
http://purl.obolibrary.org/obo/ECAO_0100413,germinal vesicle,"The enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase I of the first meiotic division between embryohood and sexual maturity",
http://purl.obolibrary.org/obo/ECAO_0100414,equatorial pigment band,"The subequatorial accumulation of pigment granules (the so-called âpigment bandâ) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity","pigment band, pigmented band"
http://purl.obolibrary.org/obo/ECAO_0100415,cytoplasm,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures",
http://purl.obolibrary.org/obo/ECAO_0100416,centrosome,,
http://purl.obolibrary.org/obo/ECAO_0100417,mitotic spindle,,
http://purl.obolibrary.org/obo/ECAO_0100418,meiotic spindle,,
http://purl.obolibrary.org/obo/ECAO_0100419,fertilization envelope,A structure that lies outside the plasma membrane and surrounds the egg. The fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release,fertilization membrane
http://purl.obolibrary.org/obo/ECAO_0100420,cytoskeleton,,
http://purl.obolibrary.org/obo/ECAO_0100421,cytoskeletal part,,
http://purl.obolibrary.org/obo/ECAO_0100422,sperm aster,,spermatozoid aster
http://purl.obolibrary.org/obo/ECAO_0100423,aster,,"spindle aster, mitotic aster"
http://purl.obolibrary.org/obo/ECAO_0100424,acellular membrane,,
http://purl.obolibrary.org/obo/ECAO_0100425,vitelline membrane,,"vitelline layer, vitelline envelope"
http://purl.obolibrary.org/obo/ECAO_0100426,intracellular part,,
http://purl.obolibrary.org/obo/ECAO_0100427,extracellular region,,
http://purl.obolibrary.org/obo/ECAO_0100428,extracellular matrix,,
http://purl.obolibrary.org/obo/ECAO_0100429,hyaline layer,,hyaline membrane
http://purl.obolibrary.org/obo/ECAO_0100430,microvillus,,
http://purl.obolibrary.org/obo/ECAO_0100431,apical lamina,,fibropellin layer
http://purl.obolibrary.org/obo/ECAO_0100432,secretory vesicle,,
http://purl.obolibrary.org/obo/ECAO_0100433,cilium,,
http://purl.obolibrary.org/obo/ECAO_0100434,filopodium,,
http://purl.obolibrary.org/obo/ECAO_0100435,basal lamina,,
http://purl.obolibrary.org/obo/ECAO_0100436,basal laminar vesicle,,"basal lamina vesicle, basal vesicle"
http://purl.obolibrary.org/obo/ECAO_0100437,apical vesicle,,
http://purl.obolibrary.org/obo/ECAO_0100438,secretory granule,,
http://purl.obolibrary.org/obo/ECAO_0100439,cortical granule,,cortical vesicle
http://purl.obolibrary.org/obo/ECAO_0100440,echinonectin granule,,nectosome
http://purl.obolibrary.org/obo/ECAO_0100441,mitochondrion,,
http://purl.obolibrary.org/obo/ECAO_0100442,actin cytoskeleton,,
http://purl.obolibrary.org/obo/ECAO_0100443,actin filament,,"microfilament, F-actin filament"
http://purl.obolibrary.org/obo/ECAO_0100444,nuclear part,,
http://purl.obolibrary.org/obo/ECAO_0100445,nucleoplasm,,
http://purl.obolibrary.org/obo/ECAO_0100446,nuclear envelope,,
http://purl.obolibrary.org/obo/ECAO_0100447,endoplasmic reticulum,,
http://purl.obolibrary.org/obo/ECAO_0100448,spermatozoid entry point,,
http://purl.obolibrary.org/obo/ECAO_0100449,plasma membrane,,cell membrane
http://purl.obolibrary.org/obo/ECAO_0100450,polar body,A small cell formed by the meiotic division of an oocyte,
http://purl.obolibrary.org/obo/ECAO_0100451,spermatozoid part,,sperm part
http://purl.obolibrary.org/obo/ECAO_0100452,spermatozoid head,The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.,
http://purl.obolibrary.org/obo/ECAO_0100453,spermatozoid flagellum,"A microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid",sperm tail
http://purl.obolibrary.org/obo/ECAO_0100454,acrosomal vesicle,An organelle that develops over the anterior half of the head in the spermatozoa,acrosome
http://purl.obolibrary.org/obo/ECAO_0100455,presumptive primordial germ cell,,
http://purl.obolibrary.org/obo/ECAO_0100456,primordial germ cell,,gamete
http://purl.obolibrary.org/obo/ECAO_0100457,oocyte,A female haploid germ cell.,
http://purl.obolibrary.org/obo/ECAO_0100458,immature occyte,,immature egg
http://purl.obolibrary.org/obo/ECAO_0100459,mature oocyte,A mature female gamet that has entered meiosis.,"egg, unfertilized egg, female gamete, female germ cell"
http://purl.obolibrary.org/obo/ECAO_0100460,spermatozoid,A mature male germ cell ,"sperm, spermatozoa, spermatozoan, male gamete, mature sperm cell"
http://purl.obolibrary.org/obo/ECAO_0100461,early embryonic cell,,
http://purl.obolibrary.org/obo/ECAO_0100462,blastomere, An undifferentiated cell produced by early cleavages of the fertilized egg (zygote),blastoderm cell
http://purl.obolibrary.org/obo/ECAO_0100463,blastomere of 2-cell embryo,,
http://purl.obolibrary.org/obo/ECAO_0100464,blastomere of 4-cell embryo,,
http://purl.obolibrary.org/obo/ECAO_0100465,mesomere,Intermediate size blastomere forming the animal hemisphere of the cleaving embryo,mesomeres
http://purl.obolibrary.org/obo/ECAO_0100466,macromere,Larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator,macromeres
http://purl.obolibrary.org/obo/ECAO_0100467,macromere daughter cell tier,,
http://purl.obolibrary.org/obo/ECAO_0100468,micromere,Small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole,micromeres
http://purl.obolibrary.org/obo/ECAO_0100469,large micromere,,
http://purl.obolibrary.org/obo/ECAO_0100470,large micromere descendant cell,,"large micromere progeny, presumptive PMC, presumptive skeletogenic mesenchyme cell, presumptive primary mesenchyme cell"
http://purl.obolibrary.org/obo/ECAO_0100471,small micromere,,SM
http://purl.obolibrary.org/obo/ECAO_0100472,small micromere descendant cell,,presumptive primordial germ cell
http://purl.obolibrary.org/obo/ECAO_0100473,presumptive neuron,A progenitor cell of the nervous system that will develop into a neuron,neuronal progenitor cell
http://purl.obolibrary.org/obo/ECAO_0100474,animal pole domain presumptive neuron,,"apical pole domain presumptive neuron, animal pole domain neuronal progenitor cell"
http://purl.obolibrary.org/obo/ECAO_0100475,oral hood presumptive neuron,,oral hood neuronal progenitor cell
http://purl.obolibrary.org/obo/ECAO_0100476,ectoderm presumptive neuron,,ectoderm neuronal progenitor cell
http://purl.obolibrary.org/obo/ECAO_0100477,ciliary band presumptive neuron,,ciliary band neuronal progenitor cell
http://purl.obolibrary.org/obo/ECAO_0100478,endoderm associated presumptive neuron,,endoderm associated neuronal progenitor cell
http://purl.obolibrary.org/obo/ECAO_0100479,neuron,,nerve cell
http://purl.obolibrary.org/obo/ECAO_0100480,larval neuron,,
http://purl.obolibrary.org/obo/ECAO_0100481,serotonergic neuron,,
http://purl.obolibrary.org/obo/ECAO_0100482,dopaminergic neuron,,
http://purl.obolibrary.org/obo/ECAO_0100483,GABAergic neuron,,
http://purl.obolibrary.org/obo/ECAO_0100484,sensory neuron,,sensory cell
http://purl.obolibrary.org/obo/ECAO_0100485,biopolar neuron,,
http://purl.obolibrary.org/obo/ECAO_0100486,multipolar neuron,,
http://purl.obolibrary.org/obo/ECAO_0100487,axon tract,,"axonal tract, axon bundle"
http://purl.obolibrary.org/obo/ECAO_0100488,neural structure,,neuronal structure
http://purl.obolibrary.org/obo/ECAO_0100489,ciliary band neuron,,peripheral neuron
http://purl.obolibrary.org/obo/ECAO_0100490,oral hood neuron,,
http://purl.obolibrary.org/obo/ECAO_0100491,presumptive ciliary band cell,,
http://purl.obolibrary.org/obo/ECAO_0100492,endoderm associated neuron,,
http://purl.obolibrary.org/obo/ECAO_0100493,ganglion,,
http://purl.obolibrary.org/obo/ECAO_0100494,apical ganglion,,apical organ
http://purl.obolibrary.org/obo/ECAO_0100495,adult neuron,,
http://purl.obolibrary.org/obo/ECAO_0100496,nerve ring,,
http://purl.obolibrary.org/obo/ECAO_0100497,enteric nerve plexus,,"enteric plexus, digestive nerve plexus"
http://purl.obolibrary.org/obo/ECAO_0100498,radial nerve cord,,
http://purl.obolibrary.org/obo/ECAO_0100499,basiepidermal nerve plexus,,
http://purl.obolibrary.org/obo/ECAO_0100500,primary podia associated neuron,,
http://purl.obolibrary.org/obo/ECAO_0100501,spine associated neuron,,
http://purl.obolibrary.org/obo/ECAO_0100502,pedicellaria associated neuron,,
http://purl.obolibrary.org/obo/ECAO_0100503,cell tier,,blastomere tier
http://purl.obolibrary.org/obo/ECAO_0100504,animal quartet,Group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo,
http://purl.obolibrary.org/obo/ECAO_0100505,vegetal quartet,Group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo,
http://purl.obolibrary.org/obo/ECAO_0100506,animal tier 1,,an1
http://purl.obolibrary.org/obo/ECAO_0100507,animal tier 2 ,,an2
